task,horizon,ticker,expanded,reduced,sample,comparison_type,metric,fallback_origins,identical_share,n,mean_loss_reduction,lo,hi,pvalue,bootstrap_se,block,replications,confidence,monte_carlo_resolution,interpretation
return,1,ATI,core_pe_difference,core_pe_level,operational,isolating: same history and target,MSE,0,1.0,44,0.0,0.0,0.0,1.0,0.0,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,CRS,distributed_all_lag3,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,0.0012288350437968,-0.0013831030623193,0.0046255096858949,0.487,0.0015448635439895,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,core_pe_difference,core_pe_level,operational,isolating: same history and target,MSE,0,0.1818181818181818,44,0.0003249950939446,-0.0015952102592736,0.0023512372489552,0.786,0.0010144828440097,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,core_pe_percentage,core_pe_level,operational,isolating: same history and target,MSE,0,0.1818181818181818,44,0.000901441603315,-0.0008693782874622,0.0026730563519329,0.317,0.0009103000945526,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,core_pe_lag1,core_pe_level,operational,isolating: same history and target,MSE,0,0.4545454545454545,44,-7.717138436832734e-05,-0.0011216178240409,0.0011375100832862,0.831,0.0005683118664668,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,core_financial_changes,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,4.860678065911138e-05,-0.0019566220946288,0.0017564015053889,0.926,0.0009235657736943,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,distributed_all_lag1,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,-0.0005807941535418,-0.001390198391717,0.0001625738901956,0.158,0.0004026516164897,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,ENTG,distributed_all_lag3,core_ridge,operational,isolating: same history and target,MSE,0,0.0,44,-0.0003073318973386,-0.0012699870961236,0.000589520435454,0.566,0.0004805724515762,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,core_pe_difference,core_pe_level,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0004434560654491,-0.0013077562595612,0.0002981258876929,0.343,0.0004170911480039,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,core_pe_percentage,core_pe_level,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,0.0001915390582547,-0.0002982423002063,0.0008913208831812,0.544,0.0003048562871581,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,core_pe_lag1,core_pe_level,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,0.0006227220822519,-0.0005032779820769,0.0023365775613585,0.466,0.0007293894905275,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,core_financial_changes,core_ridge,operational,isolating: same history and target,MSE,0,0.2727272727272727,44,0.0017780413199349,0.0004871401147573,0.0032269404024407,0.004,0.0007085646189929,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,distributed_all_lag1,core_ridge,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0001398406513754,-0.0012033179615641,0.0009818007439732,0.713,0.0005472371811905,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
return,1,MTRN,distributed_all_lag3,core_ridge,operational,isolating: same history and target,MSE,0,0.5454545454545454,44,-0.0016808766429948,-0.0041918518852002,0.0001825466447324,0.117,0.0011563075578836,6,1999,0.95,0.001,Positive favours the expanded model. Pointwise interval and unadjusted p-value from one circular block bootstrap; conditional on saved forecasts; exploratory unless in a declared family.
