item,task,ticker,subject,metric,baseline_published,baseline_new_inference,revision,change_from_inference,change_from_refit,note
R16 frozen family,return,CRS,valuation_added,mean loss reduction (MSE),-0.0016199860342622,-0.0016199860342622186,-0.0001972453105438,-1.8648277366750676e-17,0.0014227407237184186,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,valuation_added,95% interval lower,-0.0031036135647544,-0.0040457943474414455,-0.0006126820428982,-0.0009421807826870457,0.0034331123045432455,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,valuation_added,95% interval upper,0.0002296330469152,8.663104173124002e-05,0.0002202507153404,-0.00014300200518395996,0.00013361967360915996,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,valuation_added,unadjusted p-value,0.0624687656171914,0.081,0.361,0.018531234382808605,0.27999999999999997,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,valuation_added,Holm-adjusted p-value,0.9995002498750624,1.0,1.0,0.0004997501249376368,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,valuation_added,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,mean loss reduction (MSE),0.0043199568154017,0.004319956815401726,0.0003794450469713,2.6020852139652106e-17,-0.003940511768430426,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,95% interval lower,-0.000241209588444,-0.00013451593140008603,-2.066824256302086e-05,0.00010669365704391398,0.00011384768883706517,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,95% interval upper,0.0122179982435732,0.01183286271593467,0.0010159816182769,-0.0003851355276385301,-0.010816881097657771,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,unadjusted p-value,0.2153923038480759,0.082,0.193,-0.13339230384807588,0.111,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,valuation_added,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,mean loss reduction (MSE),-0.0008996200929017,-0.0008996200929017669,-0.0004434560654491,-6.689527404235562e-17,0.0004561640274526669,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,95% interval lower,-0.0016310543885904,-0.00348350943588967,-0.0013077562595612,-0.00185245504729927,0.00217575317632847,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,95% interval upper,0.0011746827738983,0.0010233702375011533,0.0002981258876929,-0.00015131253639714677,-0.0007252443498082533,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,unadjusted p-value,0.2178910544727636,0.507,0.343,0.2891089455272364,-0.16399999999999998,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,transformations_vs_levels,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,mean loss reduction (MSE),0.0009789084867005,0.0009789084867005682,0.0003249950939446,6.830473686658678e-17,-0.0006539133927559683,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,95% interval lower,-0.0015524044923268,-0.0013010143990393956,-0.0015952102592736,0.0002513900932874045,-0.00029419586023420453,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,95% interval upper,0.0021791042045466,0.00354027689791216,0.0023512372489552,0.0013611726933655602,-0.00118903964895696,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,unadjusted p-value,0.3083458270864567,0.493,0.786,0.1846541729135433,0.29300000000000004,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,transformations_vs_levels,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,mean loss reduction (MSE),0.0002924305148452,0.0002924305148452746,0.0001818524790494,7.45931094670027e-17,-0.00011057803579587458,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,95% interval lower,-0.000187706702367,-0.00019547254239980378,-0.0002185167951589,-7.765840032803779e-06,-2.304425275909621e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,95% interval upper,0.0007184497719332,0.0008084845997897264,0.000554456076184,9.00348278565264e-05,-0.0002540285236057264,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,unadjusted p-value,0.1829085457271364,0.206,0.316,0.023091454272863576,0.11000000000000001,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,transformations_vs_levels,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,mean loss reduction (MSE),0.0,0.0,0.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,95% interval lower,0.0,0.0,0.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,95% interval upper,0.0,0.0,0.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,unadjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,Holm-adjusted p-value,1.0,,,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,transformations_vs_levels,status,degenerate,identical,identical_by_exclusion,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,mean loss reduction (MSE),-0.0026744884457281,-0.0026744884457281654,-0.0019791996778223,-6.548581121812447e-17,0.0006952887679058653,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,95% interval lower,-0.0071217133255369,-0.0069799043811442415,-0.0065019756606115,0.0001418089443926589,0.00047792872053274184,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,95% interval upper,-0.0001120306704924,0.0003473208802368647,0.0013189640622091,0.0004593515507292647,0.0009716431819722354,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,unadjusted p-value,0.1184407796101949,0.105,0.322,-0.013440779610194908,0.21700000000000003,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,arma_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,mean loss reduction (MSE),-0.0002026060502164,-0.0002026060502164592,-0.00022916067207,-5.919743861770854e-17,-2.6554621853540805e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,95% interval lower,-0.0006752461633391,-0.0006523109096438613,-0.0012052380957906,2.2935253695238614e-05,-0.0005529271861467387,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,95% interval upper,4.6385419725925474e-05,5.153631873730327e-05,0.0004906820656025,5.150899011377796e-06,0.0004391457468651967,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,unadjusted p-value,0.3953023488255872,0.263,0.771,-0.13230234882558717,0.508,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,arma_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,mean loss reduction (MSE),-2.0882689235840595e-05,-2.0882689235840595e-05,-2.0882689235840595e-05,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,95% interval lower,-0.0005344398490456,-0.0004993313696575291,-0.0004993313696575,3.5108479388070964e-05,2.905661822261152e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,95% interval upper,0.0004524438217559,0.00043671582918926056,0.0004367158291892,-1.572799256663944e-05,-6.055269133331542e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,unadjusted p-value,0.8990504747626187,0.98,0.98,0.0809495252373813,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,arma_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,mean loss reduction (MSE),0.0005568608025726,0.0005568608025726128,0.0005568608025726,1.2793585635328952e-17,-1.2793585635328952e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,95% interval lower,-0.0005058659775145,-0.0004323243455282918,-0.0004323243455282,7.35416319862082e-05,9.177771390089795e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,95% interval upper,0.0019665597310366,0.002024079874817541,0.0020240798748175,5.7520143780941287e-05,-4.119968255444917e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,unadjusted p-value,0.4622688655672164,0.468,0.468,0.005731134432783613,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,arma_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,mean loss reduction (MSE),-0.0001243369740869,-0.0001243369740869917,-0.0001398406513754,-9.169639873796154e-17,-1.5503677288408317e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,95% interval lower,-0.0013434445560918,-0.0012033152224841246,-0.0012033179615641,0.00014012933360767546,-2.73907997542025e-09,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,95% interval upper,0.0003728860327373,0.001031643439587986,0.0009818007439732,0.000658757406850686,-4.984269561478607e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,unadjusted p-value,0.7741129435282359,0.745,0.713,-0.0291129435282359,-0.03200000000000003,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,MTRN,lags_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,mean loss reduction (MSE),-0.0007164088956764,-0.000716408895676411,-0.0005807941535418,-1.1058862159352145e-17,0.00013561474213461108,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,95% interval lower,-0.0016633066783929,-0.0016776904504589895,-0.001390198391717,-1.438377206608942e-05,0.00028749205874198944,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,95% interval upper,0.0002987525809028,0.00020631641956026447,0.0001625738901956,-9.243616134253552e-05,-4.374252936466448e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,unadjusted p-value,0.160919540229885,0.157,0.158,-0.003919540229884999,0.0010000000000000009,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ENTG,lags_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,mean loss reduction (MSE),-0.000540414615078,-0.0005404146150780487,-6.613354156445417e-05,-4.87890977618477e-17,0.0004742810735135946,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,95% interval lower,-0.0010266676414223,-0.0016655802826001096,-0.0013846137737152,-0.0006389126411778096,0.0002809665088849096,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,95% interval upper,0.0007987185700997,0.0006002576536563252,0.0016117865927884,-0.00019846091644337477,0.0010115289391320749,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,unadjusted p-value,0.2458770614692653,0.364,0.906,0.11812293853073469,0.542,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,CRS,lags_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,mean loss reduction (MSE),-0.0008253489586288,-0.0008253489586288605,-0.0007443993337072,-6.049848122469115e-17,8.094962492166051e-05,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,95% interval lower,-0.0021093492103941,-0.0020033215819386654,-0.0024528013928003,0.00010602762845543469,-0.0004494798108616348,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,95% interval upper,0.0001031058077436,0.00015256082894015614,0.0004360437381094,4.945502119655614e-05,0.00028348290916924384,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,unadjusted p-value,0.1369315342328835,0.114,0.322,-0.022931534232883508,0.20800000000000002,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,Holm-adjusted p-value,1.0,1.0,1.0,0.0,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
R16 frozen family,return,ATI,lags_vs_static,status,tested,tested,tested,,,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,MTRN,core_ols vs historical_mean,mean loss reduction,,-0.0015093428896143027,-0.0015093428896143,,2.6020852139652106e-18,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,MTRN,core_ols vs historical_mean,unadjusted p-value,,0.45,0.45,,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ENTG,core_ols vs historical_mean,mean loss reduction,,-0.0016723461333760757,-0.001672346133376,,7.567731163948821e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ENTG,core_ols vs historical_mean,unadjusted p-value,,0.334,0.334,,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,CRS,core_ols vs historical_mean,mean loss reduction,,-0.0014852718527921548,-0.0014852718527921,,5.4860629927766524e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,CRS,core_ols vs historical_mean,unadjusted p-value,,0.403,0.403,,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ATI,core_ols vs historical_mean,mean loss reduction,,0.0005926154113796316,0.0005926154113796,,-3.165870343657673e-17,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ATI,core_ols vs historical_mean,unadjusted p-value,,0.534,0.534,,0.0,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,MTRN,core_ridge vs historical_mean,mean loss reduction,-0.001196475568568,-0.0011964755685680436,-0.0013895352391631,-4.358492733391728e-17,-0.00019305967059505646,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,MTRN,core_ridge vs historical_mean,unadjusted p-value,0.1569215392303848,0.456,0.264,0.2990784607696152,-0.192,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ENTG,core_ridge vs historical_mean,mean loss reduction,-0.0004248090013075,-0.0004248090013075212,-0.0005466827191963,-2.1196152472091612e-17,-0.0001218737178887788,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,ENTG,core_ridge vs historical_mean,unadjusted p-value,0.5492253873063468,0.568,0.378,0.018774612693653103,-0.18999999999999995,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,CRS,core_ridge vs historical_mean,mean loss reduction,-0.0021703580476165,-0.0021703580476165898,-0.0020625098399346,-8.977193988179977e-17,0.00010784820768198989,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
headline vs benchmark,return,CRS,core_ridge vs historical_mean,unadjusted p-value,0.0689655172413793,0.097,0.15,0.028034482758620707,0.05299999999999999,baseline_published: version 3 as reported; baseline_new_inference: version-3 forecasts rescored with the version-4 inference; revision: version-4 forecasts and inference.
