task,horizon,model,companies,mean_r2_oos,mean_rmse,mean_mae,mean_qlike
return,1,ridge_full,4,-0.07108069802474581,0.1452818710200795,0.11504438448903594,
return,1,ridge_rolling84,4,-0.07861931842115238,0.14574395982032606,0.11539693643066004,
return,1,without_business,4,-0.07680140112629685,0.14571623002473655,0.11553425755436705,
return,1,without_financial,4,-0.02922415575685594,0.14232262504988408,0.11198509544524292,
return,1,without_industry,4,-0.11442498551289565,0.1481239831126845,0.11627956261404328,
return,1,without_market,4,-0.13416431582332367,0.14939644989365541,0.11915786764969602,
return,1,without_momentum,4,-0.07041230123821124,0.1451262573558565,0.11455082215096328,
return,1,without_risk,4,-0.06693732368951277,0.1449763417824716,0.11490217705760962,
return,1,without_valuation,4,-0.11709816974397791,0.1481605359410924,0.11667540840173983,
return,1,zero,4,-0.07535878900522525,0.14554893969637087,0.11214449076049555,
return,3,boost_full,4,-0.0312476468022668,0.2410119027246276,0.19065898655743713,
return,3,core_ols,4,0.0484442797688279,0.23141676117092924,0.17774314090643425,
return,3,forest_full,4,-0.052695147732786524,0.24364271920676472,0.19225736496882675,
return,3,historical_mean,4,0.0,0.23806761410921345,0.1834476653544628,
return,3,ridge_full,4,-0.2066161578080838,0.26049547411601115,0.20596163753745994,
variance,1,arch1,4,-0.24316367458866575,0.0009089041151817978,0.0005876828640139318,0.31550329217577117
variance,1,business_pair_ridge,4,0.19531257037140706,0.0007640708250538624,0.0004211964680351244,0.2181877617065931
variance,1,ewma94,4,-0.14121742795370454,0.0008834626043709751,0.0005355220929006903,0.3449877934315539
variance,1,garch11,4,-0.08489864650636489,0.0008637782362466203,0.000503290163989071,0.2789301058480447
variance,1,garchx_business,4,-0.05589723820723444,0.0008623575244297229,0.0004745057730057102,0.2700621808506585
variance,1,garchx_industry,4,0.038032137892573425,0.0008335163596734951,0.00045295973659624256,0.2562519649065276
variance,1,garchx_market,4,-0.008358146110900494,0.0008538193870216678,0.00046750814337431475,0.2807033246615747
variance,1,historical_variance21,4,-0.40347406483641807,0.0009902341859237159,0.000587310387648596,0.4606222517984433
variance,1,historical_variance252,4,0.058049650211268344,0.0008212293796966835,0.0004744917714309909,0.2699925085121062
variance,1,historical_variance63,4,0.0,0.0008424732782567811,0.0004977606364065937,0.28239979090964357
variance,1,panel_company_effects,4,-0.07214767959348595,0.0008678341454891585,0.0005349936813004182,0.33614212670430116
variance,1,pooled_boost,4,0.09917963585172687,0.000807511465920518,0.0004448501409855489,0.24868316515062633
variance,1,pooled_forest,4,0.09152891878837924,0.0008099033045764362,0.0004457493657652858,0.25073929309252957
variance,1,pooled_ridge,4,0.15187050944017733,0.0007809939450319305,0.0004652999112311489,0.2291134067331937
variance,1,variance_boost,4,0.08336258315776204,0.0008161052944449432,0.0004466144391294778,0.2799657872817433
variance,1,variance_forest,4,0.09506711915107657,0.0008071673198568734,0.00043683503967023867,0.2574666502145557
variance,1,variance_ridge,4,0.1530591578793288,0.0007823616977570167,0.000430994373639675,0.23753434342794588
variance,1,variance_ridge_external,4,0.08725041448889478,0.0008108630960608556,0.00043489514441142615,0.2557824888946072
variance,1,variance_ridge_market,4,0.03166094373941708,0.0008331863528111843,0.00045544561269636816,0.2769550803836476
variance,1,variance_ridge_persistence,4,0.0331529988650649,0.0008257076148704063,0.0004706662281692886,0.25971484415880597
